Ename,Age,NumCompaniesWorked,Previous company experience,Job role in previous company,Number of years experience in prevoius company,Reason for leaving,Salary in previous company,Present expectation Y/N,Expectation of hike in %,Promotion Y/N,New designation after promotion,Attrition,BusinessTravel,Department,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager
Kim Mann,41,1,Yes,Junior Sales Executive,8,Lack of flexible work options,2996.5,Yes,0.35,Yes,Sales Executive,Yes,Travel_Rarely,Sales,2,1,2,Female,3,2,Sales Executive,4,Single,5993,Yes,3,0,8,6,5
Jason Garcia,49,2,Yes,Research Scientist,1,for a higher pay,2565,Yes,0.35,Yes,Research Scientist,No,Travel_Frequently,Research & Development,1,2,3,Male,2,2,Research Scientist,2,Married,5130,No,4,1,10,10,7
Leonard Myers,37,1,Yes,Laboratory Technician,6,Lack of flexible work options,1045,Yes,0.35,Yes,Laboratory Technician,Yes,Travel_Rarely,Research & Development,2,4,4,Male,2,1,Laboratory Technician,3,Single,2090,Yes,3,0,7,5,0
Madeline Robinson,33,1,Yes,Research Scientist,1,Lack of flexible work options,1454.5,Yes,0.35,Yes,Research Scientist,No,Travel_Frequently,Research & Development,4,5,4,Female,3,1,Research Scientist,3,Married,2909,Yes,3,0,8,8,0
Christopher Simpson,27,1,Yes,Laboratory Technician,9,Lack of flexible work options,1734,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,1,7,1,Male,3,1,Laboratory Technician,2,Married,3468,No,3,1,6,2,2
Richard Wilson,32,1,Yes,Laboratory Technician,0,Lack of flexible work options,1534,Yes,0.35,Yes,Laboratory Technician,No,Travel_Frequently,Research & Development,2,8,4,Male,3,1,Laboratory Technician,4,Single,3068,No,3,0,8,7,6
Kathryn Johnson,59,3,Yes,Laboratory Technician,4,Lack of flexible work options,1335,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,10,3,Female,4,1,Laboratory Technician,1,Married,2670,Yes,4,3,12,1,0
Hunter Boyd,30,1,Yes,Laboratory Technician,1,Lack of flexible work options,1346.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,1,11,4,Male,3,1,Laboratory Technician,3,Divorced,2693,No,4,1,1,1,0
Andrew Holden,38,2,Yes,Manufacturing Director,0,Lack of flexible work options,4763,Yes,0.35,Yes,Manufacturing Director,No,Travel_Frequently,Research & Development,3,12,4,Male,2,3,Manufacturing Director,3,Single,9526,No,4,0,10,9,8
James Edwards,36,4,Yes,Healthcare Representative,6,Lack of flexible work options,2618.5,Yes,0.35,Yes,Healthcare Representative,No,Travel_Rarely,Research & Development,3,13,3,Male,3,2,Healthcare Representative,3,Married,5237,No,3,2,17,7,7
Matthew Hawkins,35,1,Yes,Laboratory Technician,0,Lack of flexible work options,1213,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,3,14,1,Male,4,1,Laboratory Technician,2,Married,2426,No,3,1,6,5,3
Kimberly Rodriguez,29,3,Yes,Laboratory Technician,0,Lack of flexible work options,2096.5,Yes,0.35,Yes,Laboratory Technician,No,Travel_Rarely,Research & Development,2,15,4,Female,2,2,Laboratory Technician,3,Single,4193,Yes,3,0,10,9,8
Timothy Steele,31,1,Yes,Research Scientist,1,Lack of flexible work options,1455.5,Yes,0.35,Yes,Research Scientist,No,Travel_Rarely,Research & Development,1,16,1,Male,3,1,Research Scientist,3,Divorced,2911,No,3,1,5,5,3
